Token,Average Price (USD),Price (USD),PSI
aave,188.2923147,199.2793408,0.944866206
algorand,0.313615564,0.445852878,0.703405943
aptos,12.53749118,13.32204067,0.941108911
arbitrum,0.901520575,0.931009003,0.968326376
arweave,21.32170134,22.32082151,0.955238199
avalanche-2,42.77930671,45.00028679,0.950645202
based-brett,0.166191221,0.174466925,0.952565775
beam-2,0.02403253,0.026969266,0.891108056
binance-peg-weth,3483.176895,3601.149671,0.967240246
binancecoin,645.2459276,654.7716848,0.985451788
bitcoin-cash-sv,68.95046577,71.11947907,0.969501839
bitcoin-cash,508.4270779,518.7591571,0.98008309
bitcoin,95675.42213,97453.24735,0.981757148
bitget-token,1.598301219,1.632055381,0.979318004
bittensor,561.4325073,617.5021325,0.909199301
blockstack,2.175495886,2.345940864,0.927344725
bonk,4.50E-05,4.67E-05,0.963737817
cardano,1.017063839,1.079580419,0.94209178
celestia,7.924616431,8.098109592,0.978576091
chainlink,17.86571956,18.31488454,0.975475413
coinbase-wrapped-btc,95698.18189,97416.52537,0.982360863
coredaoorg,1.12572754,1.374435992,0.819046901
cosmos,8.322229035,8.77204063,0.948722126
crypto-com-chain,0.185058295,0.190145356,0.973246465
dai,1.000240876,1.000627897,0.999613222
dogecoin,0.40973177,0.425898934,0.962039905
dogwifcoin,3.160216449,3.287282134,0.96134628
eos,0.830275391,0.957842875,0.866817943
ethena-usde,1.00160666,1.001742803,0.999864094
ethena,0.684171825,0.786809054,0.869552557
ethereum-classic,30.4954954,32.00019198,0.952978514
ethereum,3478.470011,3598.193321,0.966726827
fantom,1.00241548,1.03360569,0.969823879
fetch-ai,1.525400581,1.725153755,0.884211379
filecoin,5.681781769,6.151680813,0.923614528
first-digital-usd,0.997536821,0.999193189,0.998342294
flare-networks,0.023712395,0.028114137,0.843433147
floki,0.000228465,0.000231043,0.988839517
flow,0.906594494,0.994904334,0.911237857
gala,0.037817417,0.040005514,0.945305125
gatechain-token,11.1573369,11.45592624,0.973935819
hedera-hashgraph,0.148973698,0.180623001,0.824777005
helium,6.319896736,6.522906317,0.968877434
immutable-x,1.75548255,1.937717827,0.905953656
injective-protocol,29.10073025,30.35272339,0.958751868
internet-computer,11.58514654,12.08403693,0.958714923
jasmycoin,0.025470925,0.02698496,0.943893363
jupiter-exchange-solana,1.110095099,1.161044999,0.956117204
kaia,0.189123579,0.196435309,0.962777923
kaspa,0.152139404,0.154325666,0.985833451
kucoin-shares,11.59746913,11.84474656,0.979123451
leo-token,8.441063282,8.658904544,0.974841938
lido-dao,1.619999548,1.756556685,0.922258622
litecoin,96.89755339,103.5847865,0.935441938
maker,1781.727214,1810.81362,0.983937383
mantle-staked-ether,3646.72548,3780.718613,0.964558819
mantle,0.856100089,0.877716434,0.975372063
mantra-dao,3.555771305,3.464539685,1.02633297
monero,159.4788605,159.0984296,1.002391167
near,6.71239705,6.984651408,0.961021053
okb,53.21995663,54.16825279,0.982493507
ondo-finance,1.06964374,1.165717226,0.917584227
optimism,2.30777278,2.385789125,0.967299564
pepe,1.97E-05,2.05E-05,0.961661883
polkadot,8.529532711,9.013103687,0.946348007
polygon-ecosystem-token,0.564016958,0.585653374,0.963055936
pyth-network,0.451525664,0.485068543,0.930849198
quant-network,96.38245629,98.09544233,0.982537557
raydium,5.729430446,5.694703041,1.006098194
render-token,7.988418891,8.769280663,0.910954866
renzo-restaked-eth,3572.289431,3690.938682,0.967853909
ripple,1.503333,1.808960682,0.831047913
rocket-pool-eth,3876.636832,4010.424462,0.966640032
sei-network,0.649223273,0.677468692,0.958307418
shiba-inu,2.54E-05,2.61E-05,0.975808416
solana,242.4964272,243.7008966,0.995057591
solv-btc,95390.49192,97117.44871,0.982217853
staked-ether,3475.544672,3597.171167,0.966188294
starknet,0.607582225,0.628271489,0.967069548
stellar,0.500181822,0.55081412,0.908077342
sui,3.406213443,3.489883336,0.976025017
tether,1.000701819,1.000947674,0.999754377
tezos,1.275422931,1.373171224,0.928815656
the-graph,0.25774007,0.288638833,0.892950082
the-open-network,6.287258387,6.466018449,0.97235392
the-sandbox,0.629480458,0.653787822,0.962820715
theta-token,2.051693281,2.417898943,0.848543851
thorchain,5.629185546,6.185135375,0.910115172
tron,0.202881243,0.204573608,0.991727358
uniswap,11.78585182,12.62277621,0.933697281
usd-coin,0.999994472,1.000389078,0.999605548
usds,0.999832652,1.000563595,0.999269469
vechain,0.042724731,0.045369856,0.94169862
weth,3479.086826,3598.268924,0.966877935
whitebit,23.87875587,23.5882442,1.012315951
worldcoin-wld,2.594630932,2.927351311,0.88634081
wrapped-bitcoin,95535.50959,97208.17745,0.982792931
wrapped-eeth,3665.788819,3792.221964,0.966659877
wrapped-steth,4126.150368,4271.173651,0.966046034
